SR,RV,CTmax,CTmax.ci.lower,CTmax.ci.upper,iButton_water,TSM_estimate
Central Coast,TiW,22.08,20.87,23.93,16.58,5.5
Strait of Georgia,TiW,22.16,21.45,22.72,19.25,2.91
Central Coast,ShW,22.24,21.68,23.38,16.58,5.65
Strait of Georgia,ShW,21.84,21.57,22.35,19.25,2.59
Central Coast,L,22.33,21.67,24.16,16.58,5.75
Strait of Georgia,L,22.05,21.81,22.79,19.25,2.8
Central Coast,FR,24.66,23.71,26.21,16.58,8.08
Strait of Georgia,FR,23.03,22.77,23.47,19.25,3.78
Central Coast,ave,22.83,21.98,24.42,16.58,6.24
Strait of Georgia,ave,22.27,21.9,22.83,19.25,3.02
